date,1646500,1645000,1644000,1643000,1638500,1636500,1619500,1616500,1614500,1613000,1611500,1610155,1610000,1609000,1608500,1604500,1603000,1601500,1598500,1595800,1597500,1595500,1596500,1643500,1591000,1591400,1591700,1656000
2014-02-11 0:00,20600,133,391,1130,16700,5540,414,400,414,6420,934,42.5,4690,125,2250,445,1480,111,827,622,113,370,23.9,105,59.7,33.2,32,96
2014-02-12 0:00,17500,122,365,951,14300,4820,390,357,388,5100,690,42.1,3610,119,1820,388,920,105,497,351,83.5,320,22,100,51.3,33.1,31,79.1
2014-02-13 0:00,15500,139,276,908,12800,4480,380,356,371,4130,610,45.1,3080,124,1640,331,855,104,454,309,83.7,333,21.4,89.6,51,33.6,32,212
2014-02-14 0:00,14000,205,558,1140,11400,4190,378,358,408,3650,520,50.3,2870,152,1520,280,842,101,447,309,84,328,20.8,100,69,38,34,232
2014-02-15 0:00,13400,189,399,1200,11000,4070,390,359,429,3940,791,55.5,3050,152,1690,284,856,97.8,448,310,84.3,317,20.4,92.6,60,37.4,34,120
2014-02-16 0:00,12800,149,319,957,10800,4020,370,336,370,4010,721,51.4,2850,133,1530,227,799,96.4,444,308,84,305,20,87,55,34.9,32.7,123
2014-02-17 0:00,12200,131,292,897,10800,3850,356,317,348,3540,569,47.3,2510,126,1300,184,774,95,442,309,84,295,19.7,84,50,33.5,30.7,111
2014-02-18 0:00,11700,134,278,881,10100,3600,353,318,349,3160,506,53,2330,130,1180,185,795,119,446,309,84.5,290,20.2,88.8,55,34,30.3,127
2014-02-19 0:00,11600,214,344,981,9610,3570,381,474,367,3200,584,69.3,2860,163,1600,487,999,204,494,315,98.1,625,42.7,134,78,44.7,50.8,403
2014-02-20 0:00,13600,346,710,1850,11800,5450,458,1200,596,7410,1860,175,8820,407,5390,1060,1850,480,540,319,109,1230,154,213,101,60.5,83.9,505
2014-02-21 0:00,22400,565,1450,3340,24600,9400,715,1240,1000,15500,3450,420,12700,699,7890,1220,2360,844,806,501,199,2280,291,401,327,131,182,479
2014-02-22 0:00,48000,495,1730,6780,41900,12300,1110,1340,1880,28400,8210,825,21900,1090,13100,1560,4490,1350,1810,1290,375,1970,342,325,299,101,130,423
2014-02-23 0:00,69500,355,1150,6640,58800,14200,960,896,2490,27300,4750,803,18900,995,8340,1230,5190,1380,2210,1540,448,1550,285,263,161,64,79.2,267
2014-02-24 0:00,66500,284,874,5900,49600,11200,901,699,2730,20900,3210,691,15000,899,5700,1040,4840,1280,1900,1210,449,1460,246,225,106,53.1,59.2,197
2014-02-25 0:00,52800,228,689,3810,39400,8880,794,558,2010,15900,2330,413,11200,580,4280,806,3480,961,1580,977,447,1060,179,179,83,46,45.7,150
2014-02-26 0:00,40500,205,609,2660,30200,7390,728,486,1520,11900,1930,275,8780,401,3380,690,2920,750,1320,850,327,756,138,156,74,44.7,43,141
2014-02-27 0:00,31400,180,516,2110,24200,6340,674,433,1240,9460,1660,194,6920,289,2760,606,2180,562,970,592,257,589,110,135,69,39.7,37.8,122
2014-02-28 0:00,25500,153,430,1610,20100,5560,610,386,975,7490,1410,141,5410,212,2240,532,1620,417,751,385,254,478,92,116,60,37.5,34.2,97
2014-03-01 0:00,21000,142,388,1340,16700,4910,572,356,860,6100,1240,117,4480,189,1870,483,1400,349,673,324,254,463,75.7,109,60,35.3,31.8,81.8
2014-03-02 0:00,18000,149,384,1360,14700,4450,557,349,826,5440,1060,104,4110,181,1730,441,1320,286,676,326,254,480,65.6,113,65,34.1,32.2,84.8
2014-03-03 0:00,17500,244,502,1500,14100,4400,572,387,845,5290,1020,92.6,4000,154,1800,401,1220,236,670,325,251,460,61.3,141,65,46.8,42.9,208
2014-03-04 0:00,16500,177,414,1210,13700,4620,509,353,687,5030,1020,84.3,3880,130,2110,347,1130,205,574,325,155,430,57.7,117,60,41.7,41.3,183
2014-03-05 0:00,15700,163,437,1170,14000,6010,493,348,666,4950,1010,77.5,3830,128,2060,301,1050,196,517,325,112,420,54,108,60,36.9,39.1,152
2014-03-06 0:00,16500,157,390,1220,13900,5620,478,366,647,4890,1010,63.7,3810,122,2150,262,978,190,471,298,89.3,400,52.7,99.4,59.6,34.6,35.5,175
2014-03-07 0:00,15900,154,392,1140,13500,5370,469,377,610,4880,1000,55.2,3710,107,2180,217,895,175,395,256,75.5,379,50.6,104,60.4,33.6,34.6,191
2014-03-08 0:00,15800,182,450,1200,13500,5450,459,383,628,4740,1000,56.8,3580,111,2110,196,889,188,405,259,76,425,51.2,126,67.8,41,42.6,220
2014-03-09 0:00,16200,194,488,1730,13500,5540,458,391,796,4900,1000,113,3950,186,2240,226,1090,266,424,261,76.5,559,78.4,135,69.1,40,44.7,200
2014-03-10 0:00,16500,164,428,1880,14000,5700,457,372,882,5830,1110,159,4660,230,2580,253,1170,468,465,263,102,555,107,117,64.3,37.8,39.9,149
2014-03-11 0:00,17400,153,410,2030,15100,5700,457,362,1110,6960,1150,356,5720,465,2620,320,2050,1190,628,319,152,1130,302,114,63.1,37.2,38.5,132
2014-03-12 0:00,18900,161,398,1960,16600,5440,480,348,1320,8760,1190,540,7270,627,2660,321,3890,2270,1460,767,558,1560,548,129,67.3,40.1,37.8,127
2014-03-13 0:00,21400,212,379,2670,18800,5150,507,332,1570,10600,1220,566,9510,657,2940,290,5360,2450,1920,1010,744,1690,476,144,71.9,41.2,39.4,175
2014-03-14 0:00,23400,146,323,1690,20300,4830,468,303,1260,10300,1220,297,8180,410,2840,244,3840,1400,1640,1000,491,1210,265,108,59.8,35.5,34.1,114
2014-03-15 0:00,22800,139,314,1380,18600,4540,456,295,1090,8390,1220,228,6650,324,2380,211,3240,1200,1500,1010,371,817,269,104,57.9,34.7,33.7,102
2014-03-16 0:00,19800,132,301,1260,16100,4240,442,280,983,7330,1210,175,5980,257,2100,177,3050,1070,1320,823,371,690,265,96.6,55.6,33.5,32.6,94.6
2014-03-17 0:00,17900,167,329,1170,14900,4100,437,287,889,6640,1170,142,5270,220,1960,171,2410,872,1070,604,371,708,188,103,59.6,36.4,35.5,109
2014-03-18 0:00,16600,163,323,1140,13900,4020,429,294,827,5930,1110,119,4710,192,1860,161,2120,684,1050,603,368,672,138,102,59.7,38.1,37.4,123
2014-03-19 0:00,16000,211,385,1150,13100,3960,418,313,799,5540,1020,123,4450,205,1740,181,1970,587,951,604,243,799,117,118,70.3,44.3,60,232
2014-03-20 0:00,15800,222,541,1180,12900,4190,408,368,793,5490,936,126,4920,207,2570,336,1990,546,1130,853,193,1310,128,116,70.6,42.7,64.1,278
2014-03-21 0:00,15400,172,439,1150,13400,4900,398,354,743,7630,1370,120,7180,190,3940,364,2330,494,1260,913,243,811,133,103,62.3,37.1,45.3,162
2014-03-22 0:00,16500,159,411,992,16300,5740,391,320,694,8600,1520,113,6920,178,3590,340,2120,473,1160,802,269,684,143,97.9,60.2,36.2,40.8,129
2014-03-23 0:00,19400,146,381,919,17000,5700,386,299,652,7710,1420,105,6140,164,3090,305,2100,480,1220,801,338,593,156,91.5,57.5,34.3,36.1,109
2014-03-24 0:00,18400,133,347,854,15700,5330,376,279,606,6950,1190,90.5,5600,146,2690,263,2070,447,1130,671,371,708,125,85.8,54.4,35.7,33.1,92.4
2014-03-25 0:00,16900,145,335,821,14500,4920,375,273,575,6280,999,83.7,4910,136,2330,228,1790,413,981,596,297,645,106,88.1,56.3,34.8,33.3,89
2014-03-26 0:00,16000,157,353,854,13600,4640,369,276,567,5600,889,79.7,4400,132,2100,204,1650,379,897,601,215,433,90.4,88.7,56.1,35.1,35,108
