date_time,storage,inflow,withdr,outflow,withdr_req,rel_req,available
2019-06-03,3787,7,0,7,0,0,3794
2019-06-04,3787,8,0,8,0,0,3795
2019-06-05,3787,6,0,6,0,0,3793
2019-06-06,3787,6,0,6,0,0,3793
2019-06-07,3787,5,0,5,0,0,3792
2019-06-08,3787,5,0,5,0,0,3792
2019-06-09,3787,5,0,5,0,0,3792
2019-06-10,3787,8,0,8,0,0,3795
2019-06-11,3787,6,0,6,0,0,3793
2019-06-12,3787,14,0,14,0,0,3801
2019-06-13,3787,33.2,0,33.2,0,0,3820.2
2019-06-14,3787,37.1,0,37.1,0,0,3824.1
2019-06-15,3787,18,0,18,0,0,3805
2019-06-16,3787,13,0,13,0,0,3800
2019-06-17,3787,12,0,12,0,0,3799
2019-06-18,3787,10,0,10,0,0,3797
2019-06-19,3787,9,0,9,0,0,3796
2019-06-20,3787,12,0,12,0,0,3799
2019-06-21,3787,12,0,12,0,0,3799
2019-06-22,3787,9,0,9,0,0,3796
2019-06-23,3787,13,0,13,0,0,3800
2019-06-24,3787,34.1,0,34.1,0,0,3821.1
2019-06-25,3787,12,0,12,0,0,3799
2019-06-26,3787,9,0,9,0,0,3796
2019-06-27,3787,9,0,9,0,0,3796
2019-06-28,3787,10,0,10,0,0,3797
2019-06-29,3787,9,0,9,0,0,3796
2019-06-30,3787,8,0,8,0,0,3795
2019-07-01,3787,7,0,7,0,0,3794
2019-07-02,3787,7,0,7,0,0,3794
2019-07-03,3787,7,0,7,0,0,3794
2019-07-04,3787,7,0,7,0,0,3794
2019-07-05,3787,7,0,7,0,0,3794
2019-07-06,3787,7,0,7,0,0,3794
2019-07-07,3787,6,0,6,0,0,3793
2019-07-08,3787,9,0,9,0,0,3796
2019-07-09,3787,9,0,9,0,0,3796
2019-07-10,3787,6,0,6,0,0,3793
2019-07-11,3787,6,0,6,0,0,3793
2019-07-12,3787,6,0,6,0,0,3793
2019-07-13,3787,6,0,6,0,0,3793
2019-07-14,3787,6,0,6,0,0,3793
2019-07-15,3787,5,0,5,0,0,3792
2019-07-16,3787,5,0,5,0,0,3792
2019-07-17,3787,5,0,5,0,0,3792
2019-07-18,3787,5,0,5,0,0,3792
