date_time,storage,inflow,withdr,outflow,withdr_req,rel_req,available
2019-03-22,9725,320.8,65,255.8,65,0,9980.8
2019-03-23,9725,224.2,65,159.2,65,0,9884.2
2019-03-24,9725,180,65,115,65,0,9840
2019-03-25,9725,170,65,105,65,0,9830
2019-03-26,9725,154,65,89,65,0,9814
2019-03-27,9725,149.4,65,84.4,65,0,9809.4
2019-03-28,9725,148,65,83,65,0,9808
2019-03-29,9725,140.4,65,75.4,65,0,9800.4
2019-03-30,9725,135,65,70,65,0,9795
2019-03-31,9725,126.5,65,61.5,65,0,9786.5
2019-04-01,9725,120,65,55,65,0,9780
2019-04-02,9725,141.4,65,76.4,65,0,9801.4
2019-04-03,9725,124,65,59,65,0,9784
2019-04-04,9725,128.5,65,63.5,65,0,9788.5
2019-04-05,9725,121.5,65,56.5,65,0,9781.5
2019-04-06,9725,112.5,65,47.5,65,0,9772.5
2019-04-07,9725,107,65,42,65,0,9767
2019-04-08,9725,102,65,37,65,0,9762
2019-04-09,9725,161.3,65,96.3,65,0,9821.3
2019-04-10,9725,212,65,147,65,0,9872
2019-04-11,9725,154,65,89,65,0,9814
