date,lfalls,date_fc,length_fc
2014-12-07,NA,2021-07-23,-2420
2014-12-08,NA,2021-07-23,-2419
2014-12-09,NA,2021-07-23,-2418
2014-12-10,NA,2021-07-23,-2417
2014-12-11,NA,2021-07-23,-2416
2014-12-12,NA,2021-07-23,-2415
2014-12-13,NA,2021-07-23,-2414
2014-12-14,NA,2021-07-23,-2413
2014-12-15,NA,2021-07-23,-2412
2014-12-16,NA,2021-07-23,-2411
2014-12-17,NA,2021-07-23,-2410
2014-12-18,NA,2021-07-23,-2409
2014-12-19,NA,2021-07-23,-2408
2014-12-20,NA,2021-07-23,-2407
2014-12-21,NA,2021-07-23,-2406
2014-12-22,NA,2021-07-23,-2405
2014-12-23,NA,2021-07-23,-2404
2014-12-24,NA,2021-07-23,-2403
2014-12-25,NA,2021-07-23,-2402
2014-12-26,NA,2021-07-23,-2401
2014-12-27,NA,2021-07-23,-2400
2014-12-28,NA,2021-07-23,-2399
2014-12-29,NA,2021-07-23,-2398
2014-12-30,NA,2021-07-23,-2397
2014-12-31,NA,2021-07-23,-2396
2015-01-01,NA,2021-07-23,-2395
2015-01-02,NA,2021-07-23,-2394
2015-01-03,NA,2021-07-23,-2393
2015-01-04,NA,2021-07-23,-2392
2015-01-05,NA,2021-07-23,-2391
2015-01-06,NA,2021-07-23,-2390
2015-01-07,NA,2021-07-23,-2389
2015-01-08,NA,2021-07-23,-2388
2015-01-09,NA,2021-07-23,-2387
2015-01-10,NA,2021-07-23,-2386
2015-01-11,NA,2021-07-23,-2385
2015-01-12,NA,2021-07-23,-2384
2015-01-13,NA,2021-07-23,-2383
2015-01-14,NA,2021-07-23,-2382
2015-01-15,NA,2021-07-23,-2381
2015-01-16,NA,2021-07-23,-2380
2015-01-17,NA,2021-07-23,-2379
2015-01-18,NA,2021-07-23,-2378
2015-01-19,NA,2021-07-23,-2377
2015-01-20,NA,2021-07-23,-2376
2015-01-21,NA,2021-07-23,-2375
2015-01-22,NA,2021-07-23,-2374
2015-01-23,NA,2021-07-23,-2373
2015-01-24,NA,2021-07-23,-2372
2015-01-25,NA,2021-07-23,-2371
2015-01-26,NA,2021-07-23,-2370
2015-01-27,NA,2021-07-23,-2369
2015-01-28,NA,2021-07-23,-2368
2015-01-29,NA,2021-07-23,-2367
2015-01-30,NA,2021-07-23,-2366
2015-01-31,NA,2021-07-23,-2365
2015-02-01,NA,2021-07-23,-2364
2015-02-02,NA,2021-07-23,-2363
2015-02-03,NA,2021-07-23,-2362
2015-02-04,NA,2021-07-23,-2361
2015-02-05,NA,2021-07-23,-2360
2015-02-06,NA,2021-07-23,-2359
2015-02-07,NA,2021-07-23,-2358
2015-02-08,NA,2021-07-23,-2357
2015-02-09,NA,2021-07-23,-2356
2015-02-10,NA,2021-07-23,-2355
2015-02-11,NA,2021-07-23,-2354
2015-02-12,NA,2021-07-23,-2353
2015-02-13,NA,2021-07-23,-2352
2015-02-14,NA,2021-07-23,-2351
2015-02-15,NA,2021-07-23,-2350
2015-02-16,NA,2021-07-23,-2349
2015-02-17,NA,2021-07-23,-2348
2015-02-18,NA,2021-07-23,-2347
2015-02-19,NA,2021-07-23,-2346
2015-02-20,NA,2021-07-23,-2345
2015-02-21,NA,2021-07-23,-2344
2015-02-22,NA,2021-07-23,-2343
2015-02-23,NA,2021-07-23,-2342
2015-02-24,NA,2021-07-23,-2341
2015-02-25,NA,2021-07-23,-2340
2015-02-26,NA,2021-07-23,-2339
2015-02-27,NA,2021-07-23,-2338
2015-02-28,NA,2021-07-23,-2337
2015-03-01,NA,2021-07-23,-2336
2015-03-02,NA,2021-07-23,-2335
2015-03-03,NA,2021-07-23,-2334
2015-03-04,NA,2021-07-23,-2333
2015-03-05,NA,2021-07-23,-2332
2015-03-06,NA,2021-07-23,-2331
2015-03-07,NA,2021-07-23,-2330
2015-03-08,NA,2021-07-23,-2329
2015-03-09,NA,2021-07-23,-2328
2015-03-10,NA,2021-07-23,-2327
2015-03-11,NA,2021-07-23,-2326
2015-03-12,NA,2021-07-23,-2325
2015-03-13,NA,2021-07-23,-2324
2015-03-14,NA,2021-07-23,-2323
2015-03-15,NA,2021-07-23,-2322
2015-03-16,NA,2021-07-23,-2321
2015-03-17,NA,2021-07-23,-2320
2015-03-18,NA,2021-07-23,-2319
2015-03-19,NA,2021-07-23,-2318
2015-03-20,NA,2021-07-23,-2317
2015-03-21,NA,2021-07-23,-2316
2015-03-22,NA,2021-07-23,-2315
2015-03-23,NA,2021-07-23,-2314
2015-03-24,NA,2021-07-23,-2313
2015-03-25,NA,2021-07-23,-2312
2015-03-26,NA,2021-07-23,-2311
2015-03-27,NA,2021-07-23,-2310
2015-03-28,NA,2021-07-23,-2309
2015-03-29,NA,2021-07-23,-2308
2015-03-30,NA,2021-07-23,-2307
2015-03-31,NA,2021-07-23,-2306
2015-04-01,NA,2021-07-23,-2305
2015-04-02,NA,2021-07-23,-2304
2015-04-03,NA,2021-07-23,-2303
2015-04-04,NA,2021-07-23,-2302
2015-04-05,NA,2021-07-23,-2301
2015-04-06,NA,2021-07-23,-2300
2015-04-07,NA,2021-07-23,-2299
2015-04-08,NA,2021-07-23,-2298
2015-04-09,NA,2021-07-23,-2297
2015-04-10,NA,2021-07-23,-2296
2015-04-11,NA,2021-07-23,-2295
2015-04-12,NA,2021-07-23,-2294
2015-04-13,NA,2021-07-23,-2293
2015-04-14,NA,2021-07-23,-2292
2015-04-15,NA,2021-07-23,-2291
2015-04-16,NA,2021-07-23,-2290
2015-04-17,NA,2021-07-23,-2289
2015-04-18,NA,2021-07-23,-2288
2015-04-19,NA,2021-07-23,-2287
2015-04-20,NA,2021-07-23,-2286
2015-04-21,NA,2021-07-23,-2285
2015-04-22,NA,2021-07-23,-2284
2015-04-23,NA,2021-07-23,-2283
2015-04-24,NA,2021-07-23,-2282
2015-04-25,NA,2021-07-23,-2281
2015-04-26,NA,2021-07-23,-2280
2015-04-27,NA,2021-07-23,-2279
2015-04-28,NA,2021-07-23,-2278
2015-04-29,NA,2021-07-23,-2277
2015-04-30,NA,2021-07-23,-2276
2015-05-01,NA,2021-07-23,-2275
2015-05-02,NA,2021-07-23,-2274
2015-05-03,NA,2021-07-23,-2273
2015-05-04,NA,2021-07-23,-2272
2015-05-05,NA,2021-07-23,-2271
2015-05-06,NA,2021-07-23,-2270
2015-05-07,NA,2021-07-23,-2269
2015-05-08,NA,2021-07-23,-2268
2015-05-09,NA,2021-07-23,-2267
2015-05-10,NA,2021-07-23,-2266
2015-05-11,NA,2021-07-23,-2265
2015-05-12,NA,2021-07-23,-2264
2015-05-13,NA,2021-07-23,-2263
2015-05-14,NA,2021-07-23,-2262
2015-05-15,NA,2021-07-23,-2261
2015-05-16,NA,2021-07-23,-2260
2015-05-17,NA,2021-07-23,-2259
2015-05-18,NA,2021-07-23,-2258
2015-05-19,NA,2021-07-23,-2257
2015-05-20,NA,2021-07-23,-2256
2015-05-21,NA,2021-07-23,-2255
2015-05-22,NA,2021-07-23,-2254
2015-05-23,NA,2021-07-23,-2253
2015-05-24,NA,2021-07-23,-2252
2015-05-25,NA,2021-07-23,-2251
2015-05-26,NA,2021-07-23,-2250
2015-05-27,NA,2021-07-23,-2249
2015-05-28,NA,2021-07-23,-2248
2015-05-29,NA,2021-07-23,-2247
2015-05-30,NA,2021-07-23,-2246
2015-05-31,NA,2021-07-23,-2245
2015-06-01,NA,2021-07-23,-2244
2015-06-02,NA,2021-07-23,-2243
2015-06-03,NA,2021-07-23,-2242
2015-06-04,NA,2021-07-23,-2241
2015-06-05,NA,2021-07-23,-2240
2015-06-06,NA,2021-07-23,-2239
2015-06-07,NA,2021-07-23,-2238
2015-06-08,NA,2021-07-23,-2237
2015-06-09,NA,2021-07-23,-2236
2015-06-10,NA,2021-07-23,-2235
2015-06-11,NA,2021-07-23,-2234
2015-06-12,NA,2021-07-23,-2233
2015-06-13,NA,2021-07-23,-2232
2015-06-14,NA,2021-07-23,-2231
2015-06-15,NA,2021-07-23,-2230
2015-06-16,NA,2021-07-23,-2229
2015-06-17,NA,2021-07-23,-2228
2015-06-18,NA,2021-07-23,-2227
2015-06-19,NA,2021-07-23,-2226
2015-06-20,NA,2021-07-23,-2225
2015-06-21,NA,2021-07-23,-2224
2015-06-22,NA,2021-07-23,-2223
2015-06-23,NA,2021-07-23,-2222
2015-06-24,NA,2021-07-23,-2221
2015-06-25,NA,2021-07-23,-2220
2015-06-26,NA,2021-07-23,-2219
2015-06-27,NA,2021-07-23,-2218
2015-06-28,NA,2021-07-23,-2217
2015-06-29,NA,2021-07-23,-2216
2015-06-30,NA,2021-07-23,-2215
2015-07-01,NA,2021-07-23,-2214
2015-07-02,NA,2021-07-23,-2213
2015-07-03,NA,2021-07-23,-2212
2015-07-04,NA,2021-07-23,-2211
2015-07-05,NA,2021-07-23,-2210
2015-07-06,NA,2021-07-23,-2209
2015-07-07,NA,2021-07-23,-2208
2015-07-08,NA,2021-07-23,-2207
2015-07-09,NA,2021-07-23,-2206
2015-07-10,NA,2021-07-23,-2205
2015-07-11,NA,2021-07-23,-2204
2015-07-12,NA,2021-07-23,-2203
2015-07-13,NA,2021-07-23,-2202
2015-07-14,NA,2021-07-23,-2201
2015-07-15,NA,2021-07-23,-2200
2015-07-16,NA,2021-07-23,-2199
2015-07-17,NA,2021-07-23,-2198
2015-07-18,NA,2021-07-23,-2197
2015-07-19,NA,2021-07-23,-2196
2015-07-20,NA,2021-07-23,-2195
2015-07-21,NA,2021-07-23,-2194
2015-07-22,NA,2021-07-23,-2193
2015-07-23,NA,2021-07-23,-2192
2015-07-24,NA,2021-07-23,-2191
2015-07-25,NA,2021-07-23,-2190
2015-07-26,NA,2021-07-23,-2189
2015-07-27,NA,2021-07-23,-2188
2015-07-28,NA,2021-07-23,-2187
2015-07-29,NA,2021-07-23,-2186
2015-07-30,NA,2021-07-23,-2185
2015-07-31,NA,2021-07-23,-2184
2015-08-01,NA,2021-07-23,-2183
2015-08-02,NA,2021-07-23,-2182
2015-08-03,NA,2021-07-23,-2181
2015-08-04,NA,2021-07-23,-2180
2015-08-05,NA,2021-07-23,-2179
2015-08-06,NA,2021-07-23,-2178
2015-08-07,NA,2021-07-23,-2177
2015-08-08,NA,2021-07-23,-2176
2015-08-09,NA,2021-07-23,-2175
2015-08-10,NA,2021-07-23,-2174
2015-08-11,NA,2021-07-23,-2173
2015-08-12,NA,2021-07-23,-2172
2015-08-13,NA,2021-07-23,-2171
2015-08-14,NA,2021-07-23,-2170
2015-08-15,NA,2021-07-23,-2169
2015-08-16,NA,2021-07-23,-2168
2015-08-17,NA,2021-07-23,-2167
2015-08-18,NA,2021-07-23,-2166
2015-08-19,NA,2021-07-23,-2165
2015-08-20,NA,2021-07-23,-2164
2015-08-21,NA,2021-07-23,-2163
2015-08-22,NA,2021-07-23,-2162
2015-08-23,NA,2021-07-23,-2161
2015-08-24,NA,2021-07-23,-2160
2015-08-25,NA,2021-07-23,-2159
2015-08-26,NA,2021-07-23,-2158
2015-08-27,NA,2021-07-23,-2157
2015-08-28,NA,2021-07-23,-2156
2015-08-29,NA,2021-07-23,-2155
2015-08-30,NA,2021-07-23,-2154
2015-08-31,NA,2021-07-23,-2153
2015-09-01,NA,2021-07-23,-2152
2015-09-02,NA,2021-07-23,-2151
2015-09-03,NA,2021-07-23,-2150
2015-09-04,NA,2021-07-23,-2149
2015-09-05,NA,2021-07-23,-2148
2015-09-06,NA,2021-07-23,-2147
2015-09-07,NA,2021-07-23,-2146
2015-09-08,NA,2021-07-23,-2145
2015-09-09,NA,2021-07-23,-2144
2015-09-10,NA,2021-07-23,-2143
2015-09-11,NA,2021-07-23,-2142
2015-09-12,NA,2021-07-23,-2141
2015-09-13,NA,2021-07-23,-2140
2015-09-14,NA,2021-07-23,-2139
2015-09-15,NA,2021-07-23,-2138
2015-09-16,NA,2021-07-23,-2137
2015-09-17,NA,2021-07-23,-2136
2015-09-18,NA,2021-07-23,-2135
2015-09-19,NA,2021-07-23,-2134
2015-09-20,NA,2021-07-23,-2133
2015-09-21,NA,2021-07-23,-2132
2015-09-22,NA,2021-07-23,-2131
2015-09-23,NA,2021-07-23,-2130
2015-09-24,NA,2021-07-23,-2129
2015-09-25,NA,2021-07-23,-2128
2015-09-26,NA,2021-07-23,-2127
2015-09-27,NA,2021-07-23,-2126
2015-09-28,NA,2021-07-23,-2125
2015-09-29,NA,2021-07-23,-2124
2015-09-30,NA,2021-07-23,-2123
2015-10-01,NA,2021-07-23,-2122
2015-10-02,NA,2021-07-23,-2121
2015-10-03,NA,2021-07-23,-2120
2015-10-04,NA,2021-07-23,-2119
2015-10-05,NA,2021-07-23,-2118
2015-10-06,NA,2021-07-23,-2117
2015-10-07,NA,2021-07-23,-2116
2015-10-08,NA,2021-07-23,-2115
2015-10-09,NA,2021-07-23,-2114
2015-10-10,NA,2021-07-23,-2113
2015-10-11,NA,2021-07-23,-2112
2015-10-12,NA,2021-07-23,-2111
2015-10-13,NA,2021-07-23,-2110
2015-10-14,NA,2021-07-23,-2109
2015-10-15,NA,2021-07-23,-2108
2015-10-16,NA,2021-07-23,-2107
2015-10-17,NA,2021-07-23,-2106
2015-10-18,NA,2021-07-23,-2105
2015-10-19,NA,2021-07-23,-2104
2015-10-20,NA,2021-07-23,-2103
2015-10-21,NA,2021-07-23,-2102
2015-10-22,NA,2021-07-23,-2101
2015-10-23,NA,2021-07-23,-2100
2015-10-24,NA,2021-07-23,-2099
2015-10-25,NA,2021-07-23,-2098
2015-10-26,NA,2021-07-23,-2097
