DateTime,FW_POT,WSSC_POT,WA_GF,WA_LF,LW_POT,LW_FW,FW_OC,WSSC_PA,LW_BR
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
DateTime,FW_POT,WSSC_POT,WA_GF,WA_LF,LW_POT,LW_FW,FW_OC,WSSC_PA,LW_BR
2020-05-09,83,119,163,0,17,NA,98,63,10
2020-05-10,77,119,152,0,13,15,83,67,9
2020-05-11,83,133,148,0,13,15,91,75,8
2020-05-12,83,116,158,0,20,NA,107,75,8
2020-05-13,75,119,149,0,19,14,115,76,8
2020-05-14,84,142,146,34,NA,21,113,69,8
2020-05-15,84,122,173,0,NA,20,114,74,8
2020-05-16,84,131,162,5,NA,23,118,75,6
2020-05-17,84,142,165,0,NA,22,131,75,7
2020-05-18,84,139,170,0,NA,19,118,72,7
2020-05-19,77,120,157,0,NA,21,116,71,8
2020-05-20,82,126,162,0,21,NA,122,72,8
2020-05-21,82,130,162,0,23,14,116,76,9
2020-05-22,83,138,163,0,21,14,118,76,8
2020-05-23,84,119,173,0,18,13,112,76,7
2020-05-24,83,125,165,0,13,20,108,76,6
2020-05-25,83,132,154,0,13,18,111,73,8
2020-05-26,83,124,172,0,13,21,120,70,7
2020-05-27,83,152,167,0,23,14,133,76,8
2020-05-28,83,136,176,0,23,13,126,71,8
2020-05-29,83,119,181,0,22,14,121,74,7
2020-05-30,83,147,179,0,14,26,118,66,7
2020-05-31,83,133,199,0,13,23,137,76,7
2020-06-01,125,139,165,0,22,15,85,76,7
2020-06-02,148,138,165,0,28,15,91,76,7
2020-06-03,133,133,170,0,25,16,89,73,7
2020-06-04,158,164,207,0,34,17,89,76,6
2020-06-05,151,168,201,0,28,15,91,76,6
2020-06-06,122,123,168,0,18,15,87,76,7
2020-06-07,113,130,189,0,20,14,84,76,6
2020-06-08,120,136,166,0,15,22,85,77,7
2020-06-09,145,143,178,0,27,17,98,76,8
2020-06-10,152,160,218,0,29,15,95,68,8
2020-06-11,152,164,197,0,28,15,99,74,7
2020-06-12,97,140,204,0,NA,NA,94,76,NA
2020-06-13,144,125,176,0,NA,NA,91,75,NA
2020-06-14,132,147,180,0,NA,NA,95,75,NA
2020-06-15,136,138,162,0,NA,NA,98,75,NA
2020-06-16,144,145,188,0,NA,NA,92,71,NA
2020-06-17,144,155,182,0,NA,NA,92,NA,NA
2020-06-18,119,150,188,0,26,14,92,67,9
2020-06-19,101,132,178,0,13,22,89,68,8
2020-06-20,114,139,172,0,13,20,97,68,7
2020-06-21,101,136,172,0,19,13,92,68,8
2020-06-22,110,143,167,0,13,23,92,68,8
2020-06-23,135,142,185,0,13,24,91,68,7
2020-06-24,130,145,188,0,13,19,86,64,8
2020-06-25,153,154,195,0,NA,NA,90,69,NA
2020-06-26,143,146,189,0,13,25,96,70,7
2020-06-27,151,146,188,0,13,29,97,72,7
2020-06-28,152,131,195,0,NA,NA,97,73,NA
2020-06-29,145,153,192,0,13,27,98,73,7
2020-06-30,175,172,201,0,13,35,98,74,7
2020-07-01,167,140,183,0,NA,NA,103,70,NA
2020-07-02,153,161,206,0,15,31,101,82,8
2020-07-03,164,156,207,0,13,37,98,69,7
2020-07-04,186,165,215,0,14,37,102,81,6
2020-07-05,178,169,199,0,14,36,110,87,7
2020-07-06,168,141,185,0,13,34,102,75,8
2020-07-07,153,165,197,0,14,32,107,75,8
2020-07-08,131,148,183,0,NA,NA,98,71,NA
2020-07-09,170,150,187,0,14,31,99,73,7
2020-07-10,160,153,191,0,15,33,99,81,8
